OnEk	OnEkAciklamasi	NetCarpan
LILA	LİLAX	1.213931
PEPE	PEPE	1.233377
BULSE	BULŞEN	1.213931
ORYE	ORYEDA	1.213931
RON	RONİX	1.161152
SUGAR	SUGAR	1.222265
MISS	MİSSE	1.733394
WOOD	BABYWOOD	2.166743
BELA	BELLAROSE	1.161152
BABYIM	BABYİM	1.172430
ZADE	BEBEZADE	1.211154
OKYA	OKYANUS	1.244488
BABYGO	BABYGO	1.233377
BONTI	BONTİNO 	1.007563
DEFNE	DEFNE BABY KİDS	1.222265
CIVE	CİVELEK	1.161152
ENES	ENES	1.144929
MYBEL	MY BELLA	2.155631
CITY	CİTY WEAR	1.140040
MYMIO	MYMİO	1.222265
EFDI	EFDİES KİDS	1.213931
PEPEL	PEPELİNO	1.100039
ELCI	MC.ELCİ	1.031842
ERAY	ERAY	1.213931
TTMX	TİTİMİX	1.073149
FAVO	FAVO	1.219487
CELI	BY ÇELİKS	1.029480
ZEYN	MİNİZEYN	1.211154
STAR	STARLET	1.233377
HIPP	HİPPIL	1.244488
HIPP	HİPPIL	1.244488
PAM	PAMTİME	1.213931
CRO	CROCODAYS	1.161152
CRO	CROCODAYS	1.161152
JIKK	JİKKO	2.058405
POP	JOLLYPOP	1.029480
JOY	JOLLY JOY	2.166743
CLASS	JUNİOR CLASS	1.213931
PINK	KUTLUHAN KİDS	1.233377
BPINK	BABYPİNK	1.161152
TERY	TERY	1.220043
DECO	DECO SPORT	1.126151
LILI	LİLİTOP	1.145107
TILL	TİLLY	1.222265
CLUP	MİNİ CLUP	1.213931
MERT	MERTCAN	1.211154
HERO	MİNİ HERO	1.022258
MISIL	MIŞIL	1.167708
CUEN	CUENTO	1.082705
MELI	MİSS MELİNDA	1.222265
MENA	MENA	1.255600
LOOX	MİNİLOOX	1.233377
ELIT	MİSS ELİTE	1.222265
PRET	MİSS PRETTY	0.936033
ANIL	ANILÇO	2.211189
BOBI	BOBİŞKO	1.244488
WORLD	MİNİWORLD	1.200042
PANDA	PANDA KİDS	1.211154
BJOY	BELLO JOY	0.971145
NAZAR	NAZAR	1.182264
SUPER	SÜPERMİNİ	1.185597
LOLI	AÇOCUK	1.222265
PUAN	PUAN	1.161152
BEBE	BEBETOLİA	1.277823
RCWL	RCW LOVE	1.038925
ROYA	ROYA KİDS	1.114706
RAME	RAMEL	1.200042
REIS	RCW RİMİNİ	1.233377
MASK	MASKOT	1.100039
RISA	SERAMİS	1.222265
